50 
 0 36 22 33 6 55 38 50 47 25 30 
 66 53 56 35 58 34 59 38 23 61 25 
 67 55 29 13 41 18 47 33 19 55 22 
 47 40 12 25 39 23 39 48 23 58 58 
 52 16 15 66 55 59 
 36 0 17 33 36 19 74 78 53 61 59 
 30 43 92 70 53 59 58 69 44 26 51 
 57 86 65 22 64 28 80 68 16 19 18 
 28 38 47 23 5 45 53 82 27 85 51 
 87 23 24 73 44 48 
 22 17 0 36 20 36 59 70 55 46 50 
 46 52 79 57 60 42 63 59 38 44 34 
 67 76 50 11 59 24 69 51 8 36 17 
 40 27 34 24 18 39 51 70 26 78 59 
 74 17 7 76 54 58 
 33 33 36 0 39 46 64 52 20 53 35 
 54 20 73 54 25 68 27 47 21 45 59 
 33 61 56 28 35 15 58 65 27 45 19 
 18 63 38 11 39 22 21 61 10 56 24 
 69 20 37 40 22 25 
 6 36 20 39 0 56 38 55 53 26 36 
 66 58 59 38 64 29 64 42 29 63 19 
 72 59 30 15 47 23 51 31 20 55 25 
 50 35 15 29 38 29 45 52 28 63 63 
 55 20 13 73 61 64 
 55 19 36 46 56 0 94 95 64 81 77 
 10 47 111 89 58 77 65 88 61 11 70 
 60 104 85 42 80 46 98 87 36 1 36 
 32 50 67 40 17 63 67 101 44 101 57 
 106 41 43 82 48 52 
 38 74 59 64 38 94 0 40 68 12 34 
 105 83 25 15 85 38 81 28 44 99 35 
 94 36 8 51 46 52 29 14 58 93 59 
 81 67 27 60 77 43 56 25 57 49 85 
 22 53 51 81 85 88 
 50 78 70 52 55 95 40 0 43 40 19 
 105 65 29 25 61 72 54 13 33 97 65 
 70 10 39 59 17 50 12 52 64 95 60 
 70 90 39 55 83 32 32 17 51 9 62 
 27 55 65 47 66 67 
 47 53 55 20 53 64 68 43 0 59 34 
 72 22 70 54 18 81 13 44 25 62 72 
 27 54 62 45 26 32 53 72 46 63 38 
 32 82 47 31 59 26 12 57 28 45 18 
 66 38 54 20 24 24 
 25 61 46 53 26 81 12 40 59 0 28 
 92 73 34 16 75 32 73 27 34 87 27 
 84 40 3 39 41 40 31 13 45 81 47 
 70 56 15 48 64 33 48 30 45 49 75 
 30 41 39 75 75 78 
 30 59 50 35 36 77 34 19 34 28 0 
 87 52 37 20 51 57 47 11 15 79 49 
 61 27 29 39 13 30 22 41 44 76 40 
 54 71 21 37 63 14 22 25 33 27 52 
 33 36 45 47 54 56 
 66 30 46 54 66 10 105 105 72 92 87 
 0 53 121 100 64 87 71 98 71 10 80 
 64 114 96 53 89 56 109 98 46 11 47 
 39 59 78 49 28 73 76 111 54 111 62 
 117 52 54 89 53 56 
 53 43 52 20 58 47 83 65 22 73 52 
 53 0 90 72 10 87 18 63 39 42 78 
 15 75 76 46 48 35 73 85 44 46 36 
 15 78 58 29 48 40 32 77 30 67 9 
 86 39 54 36 2 5 
 56 92 79 73 59 111 25 29 70 34 37 
 121 90 0 21 88 63 82 26 52 115 60 
 97 20 31 69 44 65 17 39 75 110 74 
 92 91 44 73 95 51 58 12 69 35 89 
 4 69 71 77 92 93 
 35 70 57 54 38 89 15 25 54 16 20 
 100 72 21 0 72 48 67 12 33 94 43 
 81 23 14 48 31 44 15 27 54 89 53 
 72 71 23 52 74 31 42 14 48 33 72 
 17 47 50 66 74 76 
 58 53 60 25 64 58 85 61 18 75 51 
 64 10 88 72 0 93 8 62 40 53 84 
 9 72 78 53 44 41 71 88 52 57 43 
 26 87 61 36 58 41 29 75 36 62 1 
 84 45 62 26 10 7 
 34 59 42 68 29 77 38 72 81 32 57 
 87 87 63 48 93 0 93 58 56 86 9 
 101 72 33 42 70 52 64 23 46 77 53 
 79 34 36 58 59 56 72 61 57 81 92 
 60 49 35 100 89 93 
 59 58 63 27 64 65 81 54 13 73 47 
 71 18 82 67 8 93 0 57 38 61 84 
 15 65 75 55 38 42 65 85 55 64 46 
 33 90 59 39 64 39 25 70 37 55 10 
 79 47 64 17 18 16 
 38 69 59 47 42 88 28 13 44 27 11 
 98 63 26 12 62 58 57 0 27 90 52 
 71 16 26 48 19 41 10 39 54 87 51 
 66 77 27 48 74 25 32 13 44 22 62 
 22 46 53 53 65 67 
 23 44 38 21 29 61 44 33 25 34 15 
 71 39 52 33 40 56 38 27 0 64 47 
 49 42 37 27 20 16 37 47 31 61 26 
 39 62 21 21 49 1 15 40 17 40 40 
 48 22 35 43 41 43 
 61 26 44 45 63 11 99 97 62 87 79 
 10 42 115 94 53 86 61 90 64 0 78 
 53 106 91 48 81 49 101 94 42 10 40 
 29 61 72 42 27 65 67 104 46 102 51 
 110 46 51 78 43 46 
 25 51 34 59 19 70 35 65 72 27 49 
 80 78 60 43 84 9 84 52 47 78 0 
 92 66 29 33 62 43 58 22 38 70 44 
 70 32 27 49 52 47 63 57 48 74 83 
 56 40 27 91 80 84 
 67 57 67 33 72 60 94 70 27 84 61 
 64 15 97 81 9 101 15 71 49 53 92 
 0 80 87 60 53 49 80 97 58 59 50 
 29 93 70 44 63 51 39 84 44 70 9 
 93 53 69 30 13 9 
 55 86 76 61 59 104 36 10 54 40 27 
 114 75 20 23 72 72 65 16 42 106 66 
 80 0 38 65 27 57 8 50 71 103 67 
 80 94 43 64 90 41 43 11 60 14 73 
 19 63 70 57 77 78 
 29 65 50 56 30 85 8 39 62 3 29 
 96 76 31 14 78 33 75 26 37 91 29 
 87 38 0 42 42 43 30 12 49 85 50 
 73 60 19 51 68 36 50 28 48 48 78 
 27 45 43 76 78 80 
 13 22 11 28 15 42 51 59 45 39 39 
 53 46 69 48 53 42 55 48 27 48 33 
 60 65 42 0 47 13 59 46 6 42 10 
 36 36 25 16 26 28 40 60 17 66 52 
 65 7 9 66 48 51 
 41 64 59 35 47 80 46 17 26 41 13 
 89 48 44 31 44 70 38 19 20 81 62 
 53 27 42 47 0 36 26 55 51 79 46 
 53 82 34 40 69 19 15 31 36 21 45 
 41 42 54 34 49 50 
 18 28 24 15 23 46 52 50 32 40 30 
 56 35 65 44 41 52 42 41 16 49 43 
 49 57 43 13 36 0 52 50 15 45 10 
 29 50 24 7 33 17 27 54 5 56 40 
 61 6 22 52 37 41 
 47 80 69 58 51 98 29 12 53 31 22 
 109 73 17 15 71 64 65 10 37 101 58 
 80 8 30 59 26 52 0 42 64 98 62 
 76 86 36 59 84 36 41 5 55 20 71 
 14 57 63 59 75 76 
 33 68 51 65 31 87 14 52 72 13 41 
 98 85 39 27 88 23 85 39 47 94 22 
 97 50 12 46 55 50 42 0 52 87 55 
 80 54 26 58 69 46 61 39 56 61 87 
 36 50 43 88 87 90 
 19 16 8 27 20 36 58 64 46 45 44 
 46 44 75 54 52 46 55 54 31 42 38 
 58 71 49 6 51 15 64 52 0 35 8 
 32 35 31 15 20 32 43 66 18 71 51 
 71 9 11 67 45 49 
 55 19 36 45 55 1 93 95 63 81 76 
 11 46 110 89 57 77 64 87 61 10 70 
 59 103 85 42 79 45 98 87 35 0 36 
 31 51 66 39 18 62 66 100 43 101 56 
 106 41 43 81 47 51 
 22 18 17 19 25 36 59 60 38 47 40 
 47 36 74 53 43 53 46 51 26 40 44 
 50 67 50 10 46 10 62 55 8 36 0 
 25 44 31 7 23 27 36 64 10 66 42 
 70 5 18 59 38 41 
 47 28 40 18 50 32 81 70 32 70 54 
 39 15 92 72 26 79 33 66 39 29 70 
 29 80 73 36 53 29 76 80 32 31 25 
 0 65 54 22 33 41 38 80 24 74 24 
 88 30 43 50 16 20 
 40 38 27 63 35 50 67 90 82 56 71 
 59 78 91 71 87 34 90 77 62 61 32 
 93 94 60 36 82 50 86 54 35 51 44 
 65 0 50 51 35 63 77 86 53 98 86 
 87 43 27 103 80 84 
 12 47 34 38 15 67 27 39 47 15 21 
 78 58 44 23 61 36 59 27 21 72 27 
 70 43 19 25 34 24 36 26 31 66 31 
 54 50 0 32 51 20 36 36 29 48 61 
 40 26 27 64 60 63 
 25 23 24 11 29 40 60 55 31 48 37 
 49 29 73 52 36 58 39 48 21 42 49 
 44 64 51 16 40 7 59 58 15 39 7 
 22 51 32 0 29 23 29 62 4 61 35 
 68 9 25 52 31 35 
 39 5 18 39 38 17 77 83 59 64 63 
 28 48 95 74 58 59 64 74 49 27 52 
 63 90 68 26 69 33 84 69 20 18 23 
 33 35 51 29 0 50 59 86 33 90 57 
 91 27 26 79 49 53 
 23 45 39 22 29 63 43 32 26 33 14 
 73 40 51 31 41 56 39 25 1 65 47 
 51 41 36 28 19 17 36 46 32 62 27 
 41 63 20 23 50 0 16 39 19 39 41 
 47 23 35 44 42 44 
 39 53 51 21 45 67 56 32 12 48 22 
 76 32 58 42 29 72 25 32 15 67 63 
 39 43 50 40 15 27 41 61 43 66 36 
 38 77 36 29 59 16 0 45 25 36 30 
 54 34 49 27 34 35 
 48 82 70 61 52 101 25 17 57 30 25 
 111 77 12 14 75 61 70 13 40 104 57 
 84 11 28 60 31 54 5 39 66 100 64 
 80 86 36 62 86 39 45 0 58 24 76 
 9 59 64 64 79 80 
 23 27 26 10 28 44 57 51 28 45 33 
 54 30 69 48 36 57 37 44 17 46 48 
 44 60 48 17 36 5 55 56 18 43 10 
 24 53 29 4 33 19 25 58 0 57 35 
 65 10 26 49 32 35 
 58 85 78 56 63 101 49 9 45 49 27 
 111 67 35 33 62 81 55 22 40 102 74 
 70 14 48 66 21 56 20 61 71 101 66 
 74 98 48 61 90 39 36 24 57 0 63 
 33 62 73 44 69 69 
 58 51 59 24 63 57 85 62 18 75 52 
 62 9 89 72 1 92 10 62 40 51 83 
 9 73 78 52 45 40 71 87 51 56 42 
 24 86 61 35 57 41 30 76 35 63 0 
 85 45 61 27 8 6 
 52 87 74 69 55 106 22 27 66 30 33 
 117 86 4 17 84 60 79 22 48 110 56 
 93 19 27 65 41 61 14 36 71 106 70 
 88 87 40 68 91 47 54 9 65 33 85 
 0 65 67 74 88 89 
 16 23 17 20 20 41 53 55 38 41 36 
 52 39 69 47 45 49 47 46 22 46 40 
 53 63 45 7 42 6 57 50 9 41 5 
 30 43 26 9 27 23 34 59 10 62 45 
 65 0 16 59 41 44 
 15 24 7 37 13 43 51 65 54 39 45 
 54 54 71 50 62 35 64 53 35 51 27 
 69 70 43 9 54 22 63 43 11 43 18 
 43 27 27 25 26 35 49 64 26 73 61 
 67 16 0 75 56 60 
 66 73 76 40 73 82 81 47 20 75 47 
 89 36 77 66 26 100 17 53 43 78 91 
 30 57 76 66 34 52 59 88 67 81 59 
 50 103 64 52 79 44 27 64 49 44 27 
 74 59 75 0 36 34 
 55 44 54 22 61 48 85 66 24 75 54 
 53 2 92 74 10 89 18 65 41 43 80 
 13 77 78 48 49 37 75 87 45 47 38 
 16 80 60 31 49 42 34 79 32 69 8 
 88 41 56 36 0 4 
 59 48 58 25 64 52 88 67 24 78 56 
 56 5 93 76 7 93 16 67 43 46 84 
 9 78 80 51 50 41 76 90 49 51 41 
 20 84 63 35 53 44 35 80 35 69 6 
 89 44 60 34 4 0
